78204,Jovita,1907,F,9
580117,Rusty,1960,M,515
230369,Dennie,1925,M,33
113287,Shizue,1914,F,19
635741,Marcey,1965,F,27
1697591,Bianey,2011,F,22
552063,Kandee,1958,F,17
1047771,Marika,1989,F,60
197867,Linton,1922,M,50
247222,Juanda,1927,F,12
1790916,Dejohn,2013,M,5
1285479,Brianny,1998,F,9
1298214,Cayne,1998,M,11
1348717,Julana,2000,F,5
325874,Elmina,1935,F,5
1233223,Turner,1996,F,8
1821828,Rae,2014,M,7
1284744,Annaclaire,1998,F,10
1002274,Camille,1987,F,707
1504522,Massey,2005,F,5
423062,Sheryn,1946,F,28
100192,Estel,1912,F,11
1514857,Demontrez,2005,M,7
552495,Raelynn,1958,F,14
1262726,Tiaria,1997,F,6
729344,Arianne,1972,F,26
963675,Keonna,1985,F,40
1225793,Ravin,1996,F,39
329792,Hulan,1935,M,6
270051,Mauricia,1929,F,5
575954,Adel,1960,F,13
1053962,Hilaria,1989,F,9
490388,Gill,1952,M,33
1491145,Vaishnavi,2005,F,28
362965,Bertram,1939,M,86
82306,Jayne,1908,F,8
489779,Earle,1952,M,100
17228,Lamar,1887,M,7
472363,Loretta,1951,F,2485
530483,Debroha,1956,F,9
1744157,Nadelyn,2012,F,5
741457,Darrall,1972,M,5
426712,Lillion,1946,F,5
496708,Kandyce,1953,F,12
1745259,Skyler,2012,M,1222
771539,Aaren,1974,M,9
524779,Primitivo,1955,M,9
1506381,Nikhil,2005,M,209
1566549,Raegyn,2007,F,8
530127,Starlyn,1956,F,11
1350900,Leroy,2000,M,247
266636,Mitsuko,1929,F,24
323354,Lady,1935,F,18
239916,Cleveland,1926,M,326
1511031,Saylor,2005,M,15
790606,Mitcheal,1975,M,5
617901,Herbie,1963,M,28
1401306,Sharanya,2002,F,12
886728,Evon,1981,F,23
1637373,Kerin,2009,F,7
355718,Fredick,1938,M,10
444556,Vona,1948,F,12
112080,Augusta,1914,F,266
1153404,Adama,1993,F,9
319420,Con,1934,M,12
39752,Gurney,1895,M,5
1748435,Jailyn,2012,M,31
1552748,Trevionne,2006,M,5
1268626,Talib,1997,M,22
123916,Sinforosa,1915,F,6
316108,Alliene,1934,F,6
1135085,Clinton,1992,M,1466
683014,Ruth,1969,F,1901
1045298,Michaela,1988,M,5
1784894,Rupert,2013,M,13
681883,Davon,1968,M,6
157411,Boss,1918,M,8
19451,Lynn,1888,M,17
369777,Tom,1940,F,8
114301,Lota,1914,F,9
1044798,Dorien,1988,M,5
293840,Solmon,1931,M,5
917826,Danyell,1982,M,16
1822670,Jansiel,2014,M,6
1089064,Tevan,1990,M,13
564514,Bernestine,1959,F,11
1206145,Trany,1995,F,9
12659,Joeseph,1885,M,5
1126700,Shaniqwa,1992,F,12
1563658,Stephanny,2007,F,11
619972,Pilar,1963,M,7
563350,Yetta,1959,F,20
756363,Winslow,1973,M,7
781255,Chadwick,1975,F,7
1747453,Aidric,2012,M,50
651270,Chrisandra,1966,F,6
1564428,Shivali,2007,F,10
27600,Rowland,1891,M,10
1155454,Bryah,1993,F,7
1434709,Dhruvi,2003,F,8
596067,Clendon,1961,M,5
1019109,Teresa,1987,M,12
279590,Evagene,1930,F,5
1805331,Yovanna,2014,F,8
